KBL,Khwaja Rawash International  Airport,Kabul,AF
MZR,Mazar-e Sharif Airport,Mazar-e Sharif,AF
TIA,Rinas Airport,Tirana,AL
ALG,Houari Boumediene Airport,Algiers,DZ
BLJ,Batna Airport,Batna,DZ
CZL,Ain El Bey Airport,Constantine,DZ
ORN,Ahmed Ben Bella Airport,Oran,DZ
TLM,Zenata Airport,Tlemcen,DZ
LAD,4 de Fevereiro Airport,Luanda,AO
ANU,V.C. Bird International Airport,Antigua,AG
EZE,Ministro Pistarini Airport,Buenos Aires,AR
COR,Pajas Blancas Airport,Cordoba,AR
EVN,Zvartnots International Airport,Yerevan,AM
AUA,Reina Beatrix Airport,Aruba,AW
ADL,Adelaide International Airport,Adelaide,AU
BNE,Brisbane International Airport,Brisbane,AU
CNS,Cairns International Airport,Cairns,AU
OOL,Coolangatta Airport,Gold Coast,AU
MEL,Melbourne Airport,Melbourne,AU
PER,Perth International Airport,Perth,AU
MCY,Maroochydore Airport,Sunshine Coast,AU
SYD,Kingsford Smith Airport,Sydney,AU
GRZ,Graz Airport,Graz,AT
INN,Innsbruck Airport,Innsbruck,AT
KLU,Klagenfurt Airport,Klagenfurt,AT
LNZ,Blue Danube Airport,Linz,AT
SZG,W. A. Mozart Airport,Salzburg,AT
VIE,Vienna International Airport,Vienna,AT
GYD,Heydar Aliyev International Airport,Baku,AZ
KVD,Ganja Airport,Ganja,AZ
NAJ,Nakchivan Airport,Nakchivan,AZ
BIM,South Bimini Intl Airport,Bimini,BS
FPO,Grand Bahama International Airport,Freeport,BS
GGT,Exuma International Airport,George Town,BS
GHB,Governor's Harbour Airport,Governor's Harbour,BS
MHH,Marsh Harbour Airport,Marsh Harbour,BS
NAS,Lynden Pindling Intl Airport,Nassau,BS
ELH,North Eleuthera Airport,North Eleuthera,BS
ZSA,Cockburn Town Airport,San Salvador,BS
TCB,Treasure Cay Airport,Treasure Cay,BS
BAH,Bahrain International Airport,Bahrain,BH
DAC,Hazrat Shahjalal International,Dhaka,BD
BGI,Grantley Adams International Airport,Bridgetown,BB
MSQ,Minsk International,Minsk,BY
BRU,Brussels Airport,Brussels,BE
BZE,Philip S.W. Goldson International Airport,Belize City,BZ
COO,Cadjehoun Airport,Cotonou,BJ
BDA,L.F. Wade International Airport,Bermuda,BM
LPB,El Alto Intl Airport,La Paz,BO
VVI,Viru Viru International Airport,Santa Cruz,BO
BON,Flamingo International Airport,Bonaire,BQ
SJJ,Butmir International Airport,Sarajevo,BA
GBE,Sir Seretse Khama International Airport,Gaborone,BW
BEL,Val de Cans Airport,Belem,BR
CNF,Tancredo Neves International Airport,Belo Horizonte,BR
BSB,J. Kubitscheck Intl Airport,Brasilia,BR
FOR,Pinto Martins Intl Airport,Fortaleza,BR
MAO,Eduardo Gomes International Airport,Manaus,BR
NAT,Sao Goncalo do Amarante Intl Airport,Natal,BR
POA,Salgado Filho Intl Airport,Porto Alegre,BR
REC,Guararapes International Airport,Recife,BR
GIG,Galeao- A.C. Jobim Intl Airport,Rio de Janeiro,BR
SSA,Luis E. Magalhaes Airport,Salvador,BR
GRU,Guarulhos International Airport,Sao Paulo-Guarulhos,BR
VCP,Viracopos-Campinas IntL Airport,Sao Paulo-Viracopos-Campinas IntL,BR
BWN,Brunei International Airport,Bandar Seri Begawan,BN
SOF,Sofia Airport,Sofia,BG
VAR,Varna Airport,Varna,BG
OUA,Ouagadougou Airport,Ouagadougou,BF
BJM,Bujumbura International Airport,Bujumbura,BI
PNH,Phnom Penh International Airport,Phnom Penh,KH
REP,Angkor International Airport,Siem Reap,KH
DLA,Douala International Airport,Douala,CM
NSI,Nsimalen Airport,Yaounde,CM
YXX,Abbotsford Int'l Airport,Abbotsford,CA
YBG,Bagotville Airport,Bagotville,CA
YBC,Baie Comeau Airport,Baie Comeau,CA
ZBF,Bathurst Airport,Bathurst,CA
YYC,Calgary International Airport,Calgary,CA
YBL,Campbell River Airport,Campbell River,CA
YCG,West Kootenay Regional Airport,Castlegar,CA
YYG,Charlottetown Airport,Charlottetown,CA
YQQ,Comox Airport,Comox,CA
YXC,Cranbrook Airport,Cranbrook,CA
YDF,Deer Lake Regional Airport,Deer Lake,CA
YEG,Edmonton International Airport,Edmonton,CA
YMM,Fort McMurray Airport,Fort McMurray,CA
YXJ,North Peace Airport,Fort St. John,CA
YFC,Fredericton International Airport,Fredericton,CA
YQX,Gander International Airport,Gander,CA
YGP,Michel-Pouliot Airport,Gaspe,CA
YYR,Goose Bay Airport,Goose Bay,CA
YQU,Grande Prairie Airport,Grande Prairie,CA
YHZ,Stanfield International Airport,Halifax,CA
YGR,Iles de La Madeleine Airport,Iles de La Madeleine,CA
YKA,Kamloops Airport,Kamloops,CA
YLW,Kelowna International Airport,Kelowna,CA
YGK,Norman Rogers Airport,Kingston,CA
YQL,Lethbridge County Airport,Lethbridge,CA
YXU,London International Airport,London,CA
YXH,Medicine Hat Airport,Medicine Hat,CA
YQM,Greater Moncton International Airport,Moncton,CA
YYY,Mont Joli Airport,Mont Joli,CA
YUL,Pierre Elliott Trudeau International Airport,Montreal,CA
YCD,Nanaimo Airport,Nanaimo,CA
YYB,Jack Garland Airport,North Bay,CA
YOW,Macdonald-Cartier Intl Airport,Ottawa,CA
YYF,Penticton Regional Airport,Penticton,CA
YXS,Prince George Airport,Prince George,CA
YPR,Prince Rupert Airport,Prince Rupert,CA
YQB,Jean Lesage Int'l Airport,Quebec,CA
YQZ,Quesnel Airport,Quesnel,CA
YQF,Red Deer Regional Airport,Red Deer,CA
YQR,Regina International Airport,Regina,CA
YUY,Rouyn-Noranda Airport,Rouyn-Noranda,CA
YSJ,Saint John Airport,Saint John,CA
